Student Name,Student ID,Faculty,Year of Intake,Expected Year of Graduation,Gender,Major Courses,Sponsorship Status,Nationality,Units to Complete Degree,Level of Education, Classes Attended,Classes to Graduate
John Smith,30396599,School of Humanities & Social Sciences,2024,2025,Female,Psychology,Sponsored,British,35,Masters,16,16
Peter Brown,17059045,School of Humanities & Social Sciences,2023,2026,Other,Sociology,Sponsored,American,159,Undergraduate,10,40
John Miller,14271198,School of Science & Technology,2024,2027,Other,Mathematics,Self-sponsored,German,73,PhD,36,16
Michael Williams,82465290,"School of Graduate Studies, Research & Extension",2023,2024,Female,Research Methodology,Sponsored,Ugandan,50,Masters,24,14
Sarah Miller,36179221,Chandaria School of Business,2025,2027,Male,Finance,Sponsored,Indian,57,Masters,49,12
Jane Miller,37686174,"School of Graduate Studies, Research & Extension",2024,2028,Female,Research Methodology,Sponsored,British,88,PhD,26,12
John Wilson,40413867,School of Humanities & Social Sciences,2023,2026,Male,Sociology,Self-sponsored,Nigerian,126,Undergraduate,17,40
Mary Wilson,76699319,School of Humanities & Social Sciences,2022,2027,Male,International Relations,Self-sponsored,Mexican,74,PhD,49,14
Emily Davis,11458363,Chandaria School of Business,2023,2026,Male,Human Resource Management,Sponsored,Indian,69,PhD,15,15
Emily Doe,38609331,School of Pharmacy & Health Sciences,2024,2028,Male,Public Health,Sponsored,Brazilian,159,Undergraduate,48,40
Mary Jones,20410821,School of Science & Technology,2023,2027,Female,Computer Science,Sponsored,Australian,55,PhD,48,12
Sarah Williams,53663241,Chandaria School of Business,2022,2026,Other,Finance,Self-sponsored,British,71,PhD,13,16
Emily Miller,85971072,"School of Communication, Cinematic & Creative Arts",2023,2026,Other,Film Production,Sponsored,Indian,132,Undergraduate,24,41
Jane Williams,44641563,"School of Communication, Cinematic & Creative Arts",2023,2027,Male,Film Production,Sponsored,Nigerian,136,Undergraduate,19,41
Michael Jones,13538572,"School of Graduate Studies, Research & Extension",2024,2027,Other,Research Methodology,Sponsored,French,62,PhD,29,13
Sarah Brown,32093408,Chandaria School of Business,2025,2030,Other,Finance,Sponsored,French,45,PhD,43,14
Sarah Miller,28261288,Chandaria School of Business,2023,2024,Male,Marketing,Self-sponsored,Ugandan,33,Masters,35,13
Michael Miller,64446444,School of Science & Technology,2023,2024,Male,Computer Science,Sponsored,British,59,Masters,41,16
John Miller,65725497,School of Science & Technology,2022,2026,Female,Biotechnology,Self-sponsored,Indian,61,PhD,32,16
Jane Jones,67685558,School of Pharmacy & Health Sciences,2025,2028,Female,Pharmacology,Self-sponsored,Brazilian,143,Undergraduate,18,42
Mary Williams,44841440,Chandaria School of Business,2024,2028,Other,Finance,Self-sponsored,Ugandan,148,Undergraduate,33,44
Peter Williams,67505997,"School of Graduate Studies, Research & Extension",2025,2027,Female,Research Methodology,Sponsored,Kenyan,50,Masters,27,16
Jane Miller,64263005,"School of Communication, Cinematic & Creative Arts",2022,2023,Male,Journalism,Sponsored,Chinese,42,Masters,41,14
Jane Jones,43793209,School of Science & Technology,2022,2027,Other,Biotechnology,Sponsored,Ugandan,71,PhD,48,13
Peter Smith,72269633,"School of Graduate Studies, Research & Extension",2025,2029,Female,Thesis Writing,Self-sponsored,Mexican,67,PhD,22,14
Michael Brown,69396261,Chandaria School of Business,2025,2027,Male,Marketing,Sponsored,Tanzanian,37,Masters,50,15
Jane Doe,75016128,"School of Communication, Cinematic & Creative Arts",2022,2025,Female,Journalism,Sponsored,Australian,71,PhD,40,15
Emily Williams,35199846,School of Humanities & Social Sciences,2023,2026,Male,International Relations,Self-sponsored,British,134,Undergraduate,33,44
Sarah Wilson,25432624,"School of Communication, Cinematic & Creative Arts",2022,2023,Female,Film Production,Self-sponsored,Rwandan,54,Masters,39,15
David Brown,94126130,Chandaria School of Business,2024,2025,Female,Human Resource Management,Sponsored,Chinese,49,Masters,45,16
Mary Miller,36095209,School of Pharmacy & Health Sciences,2022,2025,Female,Public Health,Self-sponsored,Brazilian,132,Undergraduate,42,43
John Williams,57428517,"School of Communication, Cinematic & Creative Arts",2024,2028,Female,Journalism,Self-sponsored,Australian,123,Undergraduate,36,44
David Brown,77962839,School of Humanities & Social Sciences,2023,2028,Male,International Relations,Self-sponsored,Rwandan,90,PhD,26,16
John Wilson,41220953,School of Pharmacy & Health Sciences,2022,2025,Other,Public Health,Sponsored,Ugandan,86,PhD,45,15
Emily Jones,39392697,Chandaria School of Business,2024,2027,Other,Marketing,Sponsored,German,53,PhD,47,12
Peter Doe,89463357,"School of Graduate Studies, Research & Extension",2024,2026,Male,Thesis Writing,Self-sponsored,Indian,33,Masters,49,15
Emily Williams,21223167,Chandaria School of Business,2022,2026,Male,Finance,Self-sponsored,German,139,Undergraduate,24,40
David Davis,38144436,Chandaria School of Business,2025,2027,Female,Marketing,Self-sponsored,Indian,45,Masters,40,13
Jane Wilson,74916390,"School of Communication, Cinematic & Creative Arts",2025,2029,Female,Journalism,Self-sponsored,Chinese,156,Undergraduate,25,41
Emily Miller,63051808,"School of Communication, Cinematic & Creative Arts",2024,2025,Other,Film Production,Sponsored,Kenyan,59,Masters,23,14
Sarah Wilson,43609094,School of Science & Technology,2022,2024,Male,Computer Science,Self-sponsored,Mexican,48,Masters,46,15
Jane Doe,32740886,Chandaria School of Business,2025,2030,Male,Human Resource Management,Self-sponsored,Canadian,75,PhD,12,12
Sarah Miller,32512792,"School of Communication, Cinematic & Creative Arts",2024,2028,Male,Graphic Design,Self-sponsored,British,148,Undergraduate,16,40
Emily Jones,90000329,Chandaria School of Business,2024,2026,Other,Human Resource Management,Sponsored,Tanzanian,59,Masters,26,16
Mary Wilson,81393462,School of Pharmacy & Health Sciences,2025,2027,Male,Public Health,Sponsored,Chinese,43,Masters,15,12
Emily Miller,12751561,Chandaria School of Business,2024,2025,Female,Human Resource Management,Self-sponsored,Kenyan,30,Masters,17,14
Peter Miller,93138069,School of Humanities & Social Sciences,2024,2026,Male,Sociology,Self-sponsored,Canadian,44,Masters,21,12
Peter Williams,90590960,Chandaria School of Business,2023,2028,Female,Human Resource Management,Sponsored,Nigerian,50,PhD,22,16
Emily Williams,31491535,School of Pharmacy & Health Sciences,2022,2026,Other,Pharmacology,Sponsored,British,72,PhD,49,12
Sarah Williams,12197394,"School of Graduate Studies, Research & Extension",2023,2026,Other,Research Methodology,Self-sponsored,Ugandan,83,PhD,40,16
Jane Davis,35852836,"School of Communication, Cinematic & Creative Arts",2024,2027,Male,Graphic Design,Sponsored,Nigerian,90,PhD,44,14
John Brown,58159658,School of Pharmacy & Health Sciences,2024,2026,Female,Pharmacology,Sponsored,Australian,34,Masters,13,16
Jane Jones,36079622,School of Pharmacy & Health Sciences,2022,2026,Other,Public Health,Self-sponsored,French,68,PhD,23,16
Emily Smith,29510288,School of Pharmacy & Health Sciences,2022,2026,Other,Nursing,Sponsored,Tanzanian,123,Undergraduate,37,43
John Doe,47331550,"School of Graduate Studies, Research & Extension",2025,2029,Other,Research Methodology,Sponsored,Rwandan,145,Undergraduate,12,44
Michael Brown,27950551,School of Humanities & Social Sciences,2024,2028,Other,International Relations,Sponsored,Australian,48,PhD,21,16
John Miller,37196984,"School of Communication, Cinematic & Creative Arts",2024,2028,Other,Film Production,Self-sponsored,Ugandan,54,PhD,13,15
Peter Brown,76987275,School of Science & Technology,2025,2026,Female,Computer Science,Sponsored,Ugandan,57,Masters,23,14
Jane Davis,60214354,"School of Graduate Studies, Research & Extension",2023,2028,Male,Research Methodology,Sponsored,South African,60,PhD,28,13
Michael Smith,99244031,"School of Communication, Cinematic & Creative Arts",2022,2025,Other,Graphic Design,Sponsored,Tanzanian,123,Undergraduate,20,43
John Miller,67646135,"School of Communication, Cinematic & Creative Arts",2023,2025,Female,Journalism,Sponsored,South African,41,Masters,27,16
Emily Miller,21505269,School of Pharmacy & Health Sciences,2023,2027,Other,Pharmacology,Sponsored,Canadian,153,Undergraduate,17,41
Sarah Davis,31780797,School of Pharmacy & Health Sciences,2025,2029,Female,Nursing,Sponsored,British,133,Undergraduate,15,41
Jane Jones,87763017,School of Humanities & Social Sciences,2022,2024,Other,Sociology,Sponsored,Australian,30,Masters,20,15
David Wilson,36420857,"School of Communication, Cinematic & Creative Arts",2025,2027,Female,Journalism,Sponsored,Rwandan,42,Masters,18,14
Michael Williams,84851746,"School of Graduate Studies, Research & Extension",2024,2028,Other,Advanced Statistics,Sponsored,Rwandan,61,PhD,33,12
Mary Davis,51851019,School of Pharmacy & Health Sciences,2025,2028,Other,Nursing,Sponsored,Nigerian,149,Undergraduate,44,41
Emily Jones,67990864,Chandaria School of Business,2024,2026,Male,Marketing,Sponsored,Nigerian,31,Masters,14,13
Mary Davis,24996031,School of Pharmacy & Health Sciences,2023,2028,Female,Public Health,Self-sponsored,Indian,56,PhD,36,16
Emily Brown,78991177,School of Science & Technology,2024,2026,Other,Computer Science,Sponsored,Kenyan,59,Masters,35,14
Mary Brown,99830444,"School of Communication, Cinematic & Creative Arts",2025,2029,Female,Journalism,Sponsored,Rwandan,86,PhD,49,13
Mary Brown,44330476,School of Humanities & Social Sciences,2025,2029,Male,International Relations,Self-sponsored,Indian,149,Undergraduate,30,43
Mary Smith,57524493,School of Humanities & Social Sciences,2025,2029,Male,International Relations,Self-sponsored,Tanzanian,132,Undergraduate,30,43
Emily Brown,31746743,School of Humanities & Social Sciences,2022,2026,Female,Sociology,Sponsored,Tanzanian,74,PhD,10,12
Sarah Smith,59672669,School of Pharmacy & Health Sciences,2022,2025,Other,Pharmacology,Sponsored,Australian,160,Undergraduate,12,41
John Jones,72976843,School of Science & Technology,2023,2026,Male,Mathematics,Self-sponsored,French,89,PhD,21,15
John Jones,60285656,School of Humanities & Social Sciences,2025,2029,Other,Sociology,Self-sponsored,Chinese,160,Undergraduate,32,44
Sarah Williams,17770842,"School of Communication, Cinematic & Creative Arts",2024,2028,Other,Graphic Design,Sponsored,Australian,135,Undergraduate,26,44
John Miller,68033429,Chandaria School of Business,2023,2027,Other,Human Resource Management,Sponsored,Indian,155,Undergraduate,31,42
David Jones,27989830,School of Humanities & Social Sciences,2025,2030,Female,Psychology,Self-sponsored,Mexican,73,PhD,21,15
Mary Wilson,66188803,School of Humanities & Social Sciences,2024,2027,Male,International Relations,Self-sponsored,Mexican,152,Undergraduate,33,40
Peter Wilson,42647011,"School of Graduate Studies, Research & Extension",2023,2026,Other,Thesis Writing,Self-sponsored,Tanzanian,74,PhD,30,16
Michael Miller,56384469,"School of Graduate Studies, Research & Extension",2023,2026,Other,Thesis Writing,Self-sponsored,Mexican,157,Undergraduate,19,44
Michael Smith,90116823,School of Pharmacy & Health Sciences,2022,2023,Other,Nursing,Self-sponsored,Ugandan,41,Masters,12,16
Mary Brown,55470862,School of Humanities & Social Sciences,2022,2024,Female,International Relations,Sponsored,Ugandan,51,Masters,42,12
John Wilson,13941899,School of Humanities & Social Sciences,2025,2026,Male,Sociology,Sponsored,Canadian,33,Masters,38,12
John Brown,40525831,School of Pharmacy & Health Sciences,2023,2028,Female,Nursing,Self-sponsored,Mexican,51,PhD,48,14
Mary Doe,21329008,School of Humanities & Social Sciences,2022,2027,Other,Sociology,Sponsored,British,86,PhD,11,14
Emily Davis,67805271,Chandaria School of Business,2022,2023,Female,Marketing,Sponsored,Chinese,57,Masters,24,16
John Jones,52802881,"School of Communication, Cinematic & Creative Arts",2023,2028,Other,Film Production,Sponsored,Mexican,68,PhD,28,14
Sarah Wilson,24772550,School of Pharmacy & Health Sciences,2025,2029,Male,Public Health,Sponsored,Canadian,84,PhD,13,16
Peter Smith,98255244,Chandaria School of Business,2024,2028,Other,Finance,Sponsored,Indian,154,Undergraduate,44,44
Emily Davis,83013065,School of Humanities & Social Sciences,2023,2027,Other,International Relations,Sponsored,Ugandan,136,Undergraduate,43,41
David Brown,72138425,School of Pharmacy & Health Sciences,2025,2029,Male,Nursing,Self-sponsored,American,151,Undergraduate,46,40
David Wilson,47650433,"School of Communication, Cinematic & Creative Arts",2024,2027,Other,Journalism,Sponsored,American,141,Undergraduate,32,42
Peter Miller,82387047,School of Pharmacy & Health Sciences,2024,2029,Female,Public Health,Sponsored,Nigerian,86,PhD,33,16
Emily Brown,70163262,Chandaria School of Business,2025,2029,Other,Finance,Self-sponsored,Australian,155,Undergraduate,50,42
David Miller,92913292,School of Humanities & Social Sciences,2023,2024,Other,Sociology,Self-sponsored,Mexican,38,Masters,22,16
Jane Smith,67286385,"School of Communication, Cinematic & Creative Arts",2025,2029,Male,Graphic Design,Sponsored,South African,59,PhD,35,14
Jane Miller,39410517,School of Science & Technology,2023,2027,Male,Computer Science,Sponsored,South African,77,PhD,48,14
Sarah Miller,90980273,School of Science & Technology,2024,2029,Other,Mathematics,Self-sponsored,Nigerian,63,PhD,38,12
Emily Smith,60531391,Chandaria School of Business,2023,2027,Male,Marketing,Sponsored,British,73,PhD,47,14
Sarah Brown,53039551,"School of Graduate Studies, Research & Extension",2025,2029,Female,Thesis Writing,Sponsored,Kenyan,154,Undergraduate,39,41
John Williams,55002186,"School of Communication, Cinematic & Creative Arts",2025,2028,Male,Journalism,Self-sponsored,Ugandan,90,PhD,36,13
Michael Williams,44887668,"School of Graduate Studies, Research & Extension",2025,2027,Other,Thesis Writing,Self-sponsored,Kenyan,44,Masters,50,15
Sarah Brown,99678578,Chandaria School of Business,2025,2030,Female,Marketing,Self-sponsored,Rwandan,57,PhD,13,14
Jane Williams,84477508,"School of Graduate Studies, Research & Extension",2023,2024,Other,Research Methodology,Self-sponsored,German,31,Masters,18,16
Michael Brown,25052650,Chandaria School of Business,2022,2027,Male,Marketing,Sponsored,Tanzanian,77,PhD,17,16
Emily Williams,40621107,"School of Graduate Studies, Research & Extension",2024,2028,Female,Thesis Writing,Self-sponsored,Chinese,120,Undergraduate,30,43
Peter Brown,74055006,School of Humanities & Social Sciences,2024,2028,Other,Psychology,Self-sponsored,German,134,Undergraduate,34,44
David Wilson,94591912,School of Pharmacy & Health Sciences,2024,2026,Other,Pharmacology,Sponsored,Rwandan,51,Masters,33,16
Peter Williams,83340234,Chandaria School of Business,2023,2024,Female,Human Resource Management,Self-sponsored,German,47,Masters,15,12
Mary Williams,93555661,"School of Communication, Cinematic & Creative Arts",2024,2029,Other,Film Production,Self-sponsored,South African,88,PhD,17,14
John Williams,54825231,"School of Graduate Studies, Research & Extension",2023,2024,Male,Research Methodology,Self-sponsored,Nigerian,42,Masters,25,12
Emily Jones,95413534,School of Pharmacy & Health Sciences,2023,2024,Male,Public Health,Self-sponsored,Kenyan,31,Masters,38,12
Emily Davis,78486024,School of Humanities & Social Sciences,2024,2028,Male,Psychology,Sponsored,Brazilian,60,PhD,38,13
Mary Wilson,50413857,School of Science & Technology,2022,2024,Female,Mathematics,Self-sponsored,British,60,Masters,35,12
Peter Smith,85493948,School of Pharmacy & Health Sciences,2023,2026,Female,Public Health,Self-sponsored,Australian,54,PhD,28,14
Sarah Doe,39788802,Chandaria School of Business,2022,2024,Female,Human Resource Management,Self-sponsored,American,37,Masters,10,13
Emily Doe,96404890,School of Humanities & Social Sciences,2024,2028,Other,International Relations,Sponsored,Mexican,142,Undergraduate,50,40
Sarah Williams,14943327,"School of Communication, Cinematic & Creative Arts",2025,2026,Female,Journalism,Sponsored,Kenyan,36,Masters,32,16
Mary Williams,23368116,School of Science & Technology,2024,2028,Female,Biotechnology,Self-sponsored,Chinese,45,PhD,47,12
Michael Williams,44781075,School of Humanities & Social Sciences,2024,2027,Female,International Relations,Self-sponsored,South African,63,PhD,41,16
Emily Davis,94547548,School of Humanities & Social Sciences,2025,2028,Female,Psychology,Self-sponsored,Rwandan,146,Undergraduate,49,44
Michael Jones,83218569,School of Pharmacy & Health Sciences,2023,2027,Other,Pharmacology,Self-sponsored,French,120,Undergraduate,41,41
David Miller,34047107,School of Humanities & Social Sciences,2023,2026,Male,Sociology,Sponsored,Rwandan,155,Undergraduate,35,40
Emily Smith,86076150,Chandaria School of Business,2023,2028,Female,Human Resource Management,Sponsored,Canadian,58,PhD,43,16
Sarah Williams,46737598,School of Humanities & Social Sciences,2022,2026,Male,Sociology,Sponsored,Ugandan,158,Undergraduate,27,42
Michael Miller,42531561,School of Pharmacy & Health Sciences,2024,2026,Other,Public Health,Self-sponsored,German,58,Masters,38,14
Jane Miller,98604380,"School of Graduate Studies, Research & Extension",2025,2028,Female,Thesis Writing,Self-sponsored,French,70,PhD,49,12
Jane Miller,49093335,"School of Graduate Studies, Research & Extension",2022,2025,Other,Advanced Statistics,Sponsored,Chinese,79,PhD,17,12
Sarah Davis,52133458,School of Humanities & Social Sciences,2023,2027,Female,Psychology,Sponsored,South African,122,Undergraduate,18,44
Emily Miller,74954380,School of Humanities & Social Sciences,2022,2023,Other,Sociology,Sponsored,Mexican,35,Masters,22,16
Jane Doe,32661497,School of Humanities & Social Sciences,2025,2029,Female,International Relations,Self-sponsored,Australian,85,PhD,20,14
John Jones,25175494,School of Science & Technology,2023,2027,Other,Biotechnology,Sponsored,German,146,Undergraduate,37,43
Jane Brown,62893341,School of Humanities & Social Sciences,2022,2023,Female,International Relations,Sponsored,Brazilian,46,Masters,41,14
John Brown,27523402,Chandaria School of Business,2023,2026,Female,Marketing,Self-sponsored,Canadian,131,Undergraduate,24,41
Mary Miller,76869738,School of Science & Technology,2023,2025,Male,Computer Science,Sponsored,South African,37,Masters,48,14
Jane Doe,98111662,School of Science & Technology,2022,2026,Other,Biotechnology,Self-sponsored,Rwandan,72,PhD,33,16
David Doe,47394860,School of Pharmacy & Health Sciences,2022,2024,Male,Public Health,Self-sponsored,Canadian,47,Masters,14,13
Mary Smith,70720123,"School of Graduate Studies, Research & Extension",2025,2027,Other,Research Methodology,Self-sponsored,French,48,Masters,44,13
Sarah Wilson,41710901,School of Pharmacy & Health Sciences,2025,2029,Female,Nursing,Self-sponsored,Canadian,86,PhD,27,12
Mary Brown,50317377,School of Pharmacy & Health Sciences,2024,2027,Other,Pharmacology,Self-sponsored,British,137,Undergraduate,14,41
Sarah Wilson,78227217,"School of Communication, Cinematic & Creative Arts",2023,2027,Male,Journalism,Self-sponsored,Canadian,122,Undergraduate,26,40
John Brown,41278730,"School of Communication, Cinematic & Creative Arts",2025,2027,Female,Graphic Design,Self-sponsored,German,45,Masters,39,16
Michael Brown,13924817,School of Science & Technology,2022,2026,Female,Computer Science,Self-sponsored,Tanzanian,60,PhD,31,12
Jane Williams,22594847,Chandaria School of Business,2025,2028,Male,Finance,Sponsored,Canadian,144,Undergraduate,15,41
Jane Wilson,10538376,Chandaria School of Business,2024,2025,Other,Human Resource Management,Sponsored,Tanzanian,42,Masters,31,15
David Miller,71218812,School of Humanities & Social Sciences,2024,2027,Female,Psychology,Sponsored,French,73,PhD,15,16
David Doe,39051094,School of Science & Technology,2024,2028,Female,Mathematics,Self-sponsored,British,64,PhD,43,14
Sarah Jones,59713730,Chandaria School of Business,2023,2027,Other,Marketing,Self-sponsored,Tanzanian,80,PhD,21,13
Emily Doe,80730589,School of Humanities & Social Sciences,2022,2024,Other,Psychology,Self-sponsored,Mexican,34,Masters,50,16
Emily Smith,47365423,School of Humanities & Social Sciences,2023,2026,Female,Sociology,Self-sponsored,Brazilian,152,Undergraduate,42,44
Emily Wilson,72594799,"School of Graduate Studies, Research & Extension",2023,2027,Other,Advanced Statistics,Sponsored,Nigerian,59,PhD,42,13
Emily Jones,36026471,"School of Graduate Studies, Research & Extension",2022,2026,Other,Advanced Statistics,Self-sponsored,Nigerian,63,PhD,24,14
Jane Doe,81389870,School of Humanities & Social Sciences,2024,2027,Male,Psychology,Self-sponsored,Tanzanian,63,PhD,18,15
Peter Williams,18445337,Chandaria School of Business,2025,2026,Male,Human Resource Management,Sponsored,Chinese,53,Masters,37,16
David Wilson,13132243,School of Humanities & Social Sciences,2024,2029,Female,International Relations,Sponsored,Brazilian,87,PhD,29,15
Mary Doe,75104514,School of Humanities & Social Sciences,2025,2028,Other,Psychology,Sponsored,American,135,Undergraduate,32,43
Jane Jones,19510120,School of Pharmacy & Health Sciences,2022,2023,Female,Pharmacology,Self-sponsored,Australian,31,Masters,29,16
David Doe,74716259,School of Pharmacy & Health Sciences,2022,2025,Female,Nursing,Self-sponsored,Nigerian,82,PhD,42,13
Jane Davis,68068746,Chandaria School of Business,2025,2030,Other,Marketing,Sponsored,Brazilian,76,PhD,50,13
Michael Miller,93836841,School of Science & Technology,2022,2027,Female,Computer Science,Self-sponsored,German,68,PhD,32,16
Peter Miller,20523375,School of Science & Technology,2025,2027,Male,Biotechnology,Sponsored,Mexican,36,Masters,17,15
Jane Wilson,86134209,School of Science & Technology,2025,2030,Female,Computer Science,Sponsored,Canadian,58,PhD,49,12
Jane Wilson,42200034,School of Humanities & Social Sciences,2023,2027,Female,Psychology,Self-sponsored,British,142,Undergraduate,32,41
Jane Jones,19362954,"School of Communication, Cinematic & Creative Arts",2023,2024,Female,Journalism,Sponsored,German,57,Masters,11,13
John Miller,76207383,School of Humanities & Social Sciences,2023,2026,Other,International Relations,Sponsored,Tanzanian,121,Undergraduate,49,44
Jane Wilson,24403939,"School of Graduate Studies, Research & Extension",2022,2026,Male,Research Methodology,Sponsored,Chinese,90,PhD,30,13
Sarah Wilson,41417702,School of Humanities & Social Sciences,2023,2027,Female,Sociology,Sponsored,Australian,83,PhD,45,16
Jane Wilson,38842558,School of Pharmacy & Health Sciences,2022,2026,Other,Public Health,Self-sponsored,French,156,Undergraduate,26,40
Jane Doe,74077938,"School of Graduate Studies, Research & Extension",2025,2030,Other,Research Methodology,Sponsored,American,65,PhD,22,13
John Doe,65900299,"School of Graduate Studies, Research & Extension",2023,2027,Male,Research Methodology,Self-sponsored,Mexican,156,Undergraduate,24,40
Michael Davis,94006720,"School of Graduate Studies, Research & Extension",2024,2027,Male,Thesis Writing,Self-sponsored,Tanzanian,74,PhD,20,15
Mary Doe,16441831,School of Pharmacy & Health Sciences,2023,2027,Female,Public Health,Sponsored,Australian,128,Undergraduate,12,43
Sarah Doe,49496218,"School of Graduate Studies, Research & Extension",2024,2025,Female,Thesis Writing,Self-sponsored,German,34,Masters,26,15
David Williams,90425055,"School of Graduate Studies, Research & Extension",2024,2028,Other,Research Methodology,Self-sponsored,Chinese,123,Undergraduate,32,42
Jane Jones,28549278,Chandaria School of Business,2025,2027,Female,Finance,Sponsored,Nigerian,30,Masters,16,14
David Doe,82830113,School of Humanities & Social Sciences,2025,2027,Female,Sociology,Self-sponsored,German,52,Masters,16,14
Mary Williams,43651240,"School of Communication, Cinematic & Creative Arts",2025,2026,Female,Film Production,Sponsored,South African,40,Masters,22,12
David Miller,69498651,School of Science & Technology,2025,2027,Female,Biotechnology,Self-sponsored,Indian,55,Masters,44,16
Peter Smith,30482090,School of Humanities & Social Sciences,2023,2025,Other,International Relations,Sponsored,British,36,Masters,39,13
Michael Doe,55476763,School of Science & Technology,2022,2025,Female,Computer Science,Sponsored,Indian,148,Undergraduate,37,44
Emily Doe,18202343,School of Science & Technology,2025,2026,Female,Computer Science,Sponsored,Chinese,30,Masters,22,12
Peter Davis,53278318,Chandaria School of Business,2023,2025,Male,Human Resource Management,Self-sponsored,Ugandan,47,Masters,48,14
David Davis,84145610,School of Science & Technology,2025,2030,Male,Mathematics,Sponsored,British,80,PhD,39,14
Jane Wilson,93358934,"School of Communication, Cinematic & Creative Arts",2024,2025,Female,Graphic Design,Self-sponsored,Indian,33,Masters,36,13
Mary Miller,65706353,"School of Graduate Studies, Research & Extension",2022,2023,Female,Thesis Writing,Sponsored,Tanzanian,31,Masters,20,14
Michael Williams,50392308,School of Science & Technology,2022,2024,Female,Computer Science,Sponsored,French,60,Masters,34,15
Sarah Williams,98599194,Chandaria School of Business,2023,2025,Female,Human Resource Management,Self-sponsored,Australian,59,Masters,34,12
Peter Wilson,47865997,"School of Communication, Cinematic & Creative Arts",2025,2027,Other,Journalism,Sponsored,Tanzanian,51,Masters,28,13
David Doe,68218975,School of Pharmacy & Health Sciences,2025,2030,Other,Nursing,Self-sponsored,South African,82,PhD,40,14
David Miller,27659858,"School of Communication, Cinematic & Creative Arts",2024,2027,Female,Graphic Design,Sponsored,Australian,73,PhD,49,13
Emily Miller,29112970,Chandaria School of Business,2023,2028,Female,Finance,Self-sponsored,Australian,50,PhD,10,14
Peter Williams,41248580,Chandaria School of Business,2023,2025,Female,Human Resource Management,Sponsored,Kenyan,59,Masters,18,13
Jane Davis,14378498,Chandaria School of Business,2025,2029,Other,Marketing,Self-sponsored,Brazilian,76,PhD,13,16
Mary Wilson,96285428,School of Science & Technology,2023,2028,Male,Biotechnology,Self-sponsored,Mexican,60,PhD,19,14
Michael Jones,27104964,School of Pharmacy & Health Sciences,2022,2025,Female,Pharmacology,Self-sponsored,French,45,PhD,26,14
Jane Doe,11301931,Chandaria School of Business,2023,2026,Other,Finance,Sponsored,Indian,61,PhD,32,16
Emily Doe,68744159,School of Humanities & Social Sciences,2023,2025,Other,Sociology,Sponsored,Canadian,49,Masters,11,13
Jane Williams,22359191,Chandaria School of Business,2025,2028,Other,Finance,Self-sponsored,German,144,Undergraduate,40,42
John Jones,97267908,"School of Communication, Cinematic & Creative Arts",2023,2027,Male,Journalism,Self-sponsored,Australian,144,Undergraduate,34,40
David Wilson,72418139,"School of Graduate Studies, Research & Extension",2023,2027,Female,Research Methodology,Sponsored,Canadian,81,PhD,14,15
Emily Davis,95271905,Chandaria School of Business,2025,2028,Female,Finance,Self-sponsored,South African,77,PhD,14,13
Michael Davis,76811197,Chandaria School of Business,2025,2027,Other,Finance,Self-sponsored,Ugandan,57,Masters,12,15
Emily Wilson,42722573,School of Pharmacy & Health Sciences,2022,2025,Other,Public Health,Self-sponsored,Brazilian,126,Undergraduate,14,43
David Brown,94893121,School of Humanities & Social Sciences,2022,2025,Male,Sociology,Sponsored,Tanzanian,129,Undergraduate,25,42
Emily Williams,76674586,"School of Communication, Cinematic & Creative Arts",2025,2028,Male,Journalism,Self-sponsored,French,142,Undergraduate,21,40
John Wilson,73117965,Chandaria School of Business,2025,2028,Other,Human Resource Management,Self-sponsored,Nigerian,61,PhD,23,13
Jane Wilson,81665180,School of Pharmacy & Health Sciences,2025,2026,Male,Public Health,Sponsored,Ugandan,30,Masters,10,16
Jane Davis,79263305,School of Science & Technology,2022,2025,Female,Computer Science,Sponsored,German,156,Undergraduate,35,40
John Brown,16922091,School of Science & Technology,2025,2030,Male,Computer Science,Self-sponsored,Mexican,57,PhD,43,14
Mary Smith,80799911,"School of Graduate Studies, Research & Extension",2024,2027,Other,Advanced Statistics,Sponsored,South African,86,PhD,34,16
Michael Brown,64620227,"School of Graduate Studies, Research & Extension",2023,2026,Male,Advanced Statistics,Sponsored,British,45,PhD,33,13
Jane Wilson,87673632,School of Pharmacy & Health Sciences,2022,2023,Other,Nursing,Sponsored,Chinese,40,Masters,30,15
Emily Doe,87173009,Chandaria School of Business,2022,2027,Male,Marketing,Self-sponsored,Mexican,56,PhD,29,12
David Williams,47295923,School of Humanities & Social Sciences,2025,2029,Male,Sociology,Self-sponsored,Australian,129,Undergraduate,20,41
Sarah Davis,12474743,School of Pharmacy & Health Sciences,2024,2027,Other,Nursing,Sponsored,Tanzanian,77,PhD,36,14
Peter Wilson,17239056,Chandaria School of Business,2025,2030,Male,Human Resource Management,Sponsored,South African,67,PhD,44,13
Emily Smith,66707726,"School of Graduate Studies, Research & Extension",2025,2027,Other,Advanced Statistics,Sponsored,Kenyan,41,Masters,46,13
Sarah Jones,98848422,School of Pharmacy & Health Sciences,2025,2028,Other,Nursing,Self-sponsored,Tanzanian,124,Undergraduate,17,41
Mary Wilson,86244596,"School of Communication, Cinematic & Creative Arts",2024,2025,Female,Journalism,Sponsored,Rwandan,45,Masters,24,16
